Production tag;JIRA tickets;Anchor productions;Anchor pass;Collision system;Energy;Run list;Comment;Requester;PWG;PAG;Production status;Requested events;Generated events;Output size;Run time;Saving time;First seen;Last seen
LHC21j1a_cent;ALIROOT-8751;LHC17p;pass2;p-p;5020.0;;- General-purpose Monte Carlo anchored to LHC17p/q pass2, CENT wSDD, store BKG;;;no PAG to select;;108178050;120437700;82253849217571;3.6345065e+06;37274.656;1633243626;1633888033
LHC21d9x;;;pass3;Pb-Pb;2000.0;300300;DelphesO2 Simulation + AOD, Pb-Pb MB, Dipole v1, test with updated software, rmin100, O2-2572;;;;;;1061910;1855553048580;13349.964;1451.7219;1632950254;1633029197
LHC21d9v;;;pass3;Pb-Pb;;300300, 300301, 300302, 300303, 300304, 300305, 300306, 300307, 300308, 300309;DelphesO2 Simulation + AOD, Pb-Pb MB, v1, B05T, rmin 100, O2-2572;;;;;;10530360;15560398331024;125421.57;13706.56;1632872356;1633027942
LHC21d9u;;;pass3;Pb-Pb;;300300, 300301, 300302, 300303, 300304, 300305, 300306, 300307, 300308, 300309;DelphesO2 Simulation + AOD, Pb-Pb MB, v1, B2T, rmin 100, O2-2572;;;;;;10652490;14532471618663;126896.92;13885.743;1632872327;1633039282
LHC21d9t;;;pass3;Pb-Pb;;300300, 300301, 300302, 300303, 300304, 300305, 300306, 300307, 300308, 300309;DelphesO2 Simulation + AOD, Pb-Pb MB, v1, B05T, rmin 20, O2-2572;;;;;;10836720;14839634241265;117285;18927.863;1632913248;1633034627
LHC21d9s;;;pass3;Pb-Pb;;300300, 300301, 300302, 300303, 300304, 300305, 300306, 300307, 300308, 300309;DelphesO2 Simulation + AOD, Pb-Pb MB, v1, B2T, rmin 20, O2-2572;;;;;;10813365;14720595496467;121893.69;18616.734;1632901462;1633020036
LHC21i6a;ALIROOT-8750;LHC17o;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC17o pass2, store BKG;;;no PAG to select;;32299604;35993700;60415155054858;1.7030555e+06;11058.622;1632739413;1632970438
LHC21i5a;ALIROOT-8749;LHC17m;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC17m pass2, store BKG;;;no PAG to select;;27733494;30797100;44411050324526;1.3662692e+06;9475.437;1632642299;1632977013
LHC21i4a;ALIROOT-8748;LHC17k;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC17k pass2, store BKG;;;no PAG to select;;34530718;38327250;56663553784951;1.7234516e+06;11531.384;1632639393;1633659929
LHC21d9r;;;pass2;;;300300;DelphesO2 Simulation + AOD, pp setup, Onia X, Dipole v1, rmin 100, O2-2572;;;;;;214500000;3959468062459;4504.5293;841.453;1632439956;1632531542
LHC21d9q;;;pass2;;;300300;DelphesO2 Simulation + AOD, pp setup, pp MB, Dipole v1, rmin 100, O2-2572;;;;;;1063150000;16897834050309;49988.793;5035.5796;1632446403;1632557460
LHC21d9p;;;pass2;;;300300;DelphesO2 Simulation + AOD, pp setup, CCBAR Xic pKpi, Dipole v1, rmin 100, 02-xxx;;;;;;190350000;1932528337426;3216.3777;484.38394;1632445830;1632541112
LHC21d9o;;;pass2;;;300300;DelphesO2 Simulation + AOD, pp setup, CCBAR Lc pKpi, Dipole v1, rmin 100, 02-xxx;;;;;;213850000;2171378340445;3549.5325;628.5841;1632436852;1632518381
LHC21d9n;;;pass3;Pb-Pb;;300300;DelphesO2 Simulation + AOD, Pb-Pb MB, Dipole v1, development 2, rmin100, O2-2572;;;;;;54334980;74036666105370;587291.8;85038.92;1632440784;1633989119
LHC21b3a;ALIROOT-8641;LHC18p;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18p pass2, store BKG;;;no PAG to select;;21326054;23588250;48897614811944;1.3719919e+06;16149.03;1631695832;1631959619
LHC21i2b;;;pass2;Pb-Pb;5020.0;;- Multi-purpose Pb-Pb ALICE 3, 5kGauss, 02-2560;;;no PAG to select;;;5340815000;17431523534873;9.179948e+06;33947.04;1631915785;1632818465
LHC21i2a;;;pass2;Pb-Pb;5020.0;;- Multi-purpose Pb-Pb ALICE 3, 20kGauss, 02-2560;;;no PAG to select;;500000000;533625000;60448595704608;761257.25;7010.6797;1631915780;1632654642
LHC21d9m;;;pass3;Pb-Pb;;300100;DelphesO2 Simulation + AOD, Pb-Pb MB, Dipole v1, development 2, O2-2572;;;;;;54257130;73779472422906;583504.9;77492.234;1632440861;1633993895
LHC21c5h_root6;ALIROOT-8678;LHC18b;pass2;p-p;13000.0;285013;- Weighted jet-jet (CALOFAST) for EMCAL trigger development andchored to 2018 periods, reconstruction h - noise 200 MeV, ROOT6;;PWGJE;;;;8234000;1643494671442;2707.176;374.58954;1631725842;1631881219
LHC21c5b_root6;ALIROOT-8678;LHC18b;pass2;p-p;13000.0;285013;- Weighted jet-jet (CALOFAST) for EMCAL trigger development andchored to 2018 periods, reconstruction b, ROOT6;;PWGJE;;;;8260000;1647989658879;2622.732;317.47284;1631849288;1631879780
LHC21c5a_root6;ALIROOT-8678;, LHC18d;pass2;p-p;13000.0;285013, 285222, 285396, 286124, 286203;- Weighted jet-jet (CALOFAST) for EMCAL trigger development andchored to 2018 periods, ROOT6;;PWGJE;;;;8360000;2406369028241;63574.465;264.83127;1631521005;1631628494
LHC21d9k;;;pass3;Pb-Pb;;300100, 300101, 300102, 300103, 300104, 300105, 300106;DelphesO2 Simulation + AOD, Pb-Pb MB, Dipole v1, O2-2572;;;;;;1059430;1417877611642;37450.797;10912.355;1632223525;1632340779
LHC21g4a;ALIROOT-8723;LHC17c;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass2 LHC17c/e/f/j, store BKG;;;no PAG to select;;18902184;21037650;9955605794303;732414.1;6292.795;1631301136;1631564765
LHC21g3a;ALIROOT-8721;LHC17g;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass2 LHC17g, store BKG;;;no PAG to select;;29683088;33050400;22049292905865;1.1583958e+06;7481.8755;1631301068;1631605562
LHC21g2a;ALIROOT-8712;LHC17i;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass2 LHC17i, store BKG;;;no PAG to select;;16920014;18792600;22123351686709;738811.75;3790.0444;1633978085;1634085110
LHC21g1a;ALIROOT-8711;LHC17h;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass2 LHC17h, store BKG;;;no PAG to select;;42878253;47718150;68650443426368;2.2190258e+06;10063.288;1631300893;1631542196
LHC21d9j;;;pass2;;;300100;DelphesO2 Simulation + AOD, pp setup, Onia X, Dipole v1, O2-2572;;;;;;216500000;4169458442770;4364.9434;908.2962;1632439906;1632531480
LHC21d9i;;;pass2;;;300100;DelphesO2 Simulation + AOD, pp setup, pp MB, Dipole v1, O2-2572;;;;;;1065150000;17509295657561;49830.027;5264.2344;1632446356;1632557460
LHC21i1_nightly;;;pass2;p-p;900.0;300100, 300101, 301001, 301002, 301003;- Automatic test for O2 commisioning Run3, 02-xxx;;;;;;9500700;2874289131218;24819.256;196.23668;1632818386;1636985720
LHC21d9h;;;pass2;;;300100, 300101;DelphesO2 Simulation + AOD, pp setup, GUN Xicc, Dipole v1, 02-xxx;;;;;;1400000;22989828320;11497.461;1146.0745;1631258134;1631349916
LHC21d9g;;;pass2;;;300100, 300101;DelphesO2 Simulation + AOD, pp setup, CCBAR Xic pKpi, Dipole v1, 02-xxx;;;;;;183750000;1964615779748;3121.8835;539.1583;1632445794;1632544263
LHC21d9f;;;pass2;;;300100, 300101;DelphesO2 Simulation + AOD, pp setup, CCBAR Lc pKpi, Dipole v1, 02-xxx;;;;;;213700000;2285055830038;3455.5159;894.0864;1632436747;1632519082
LHC21c5c_3;ALIROOT-8678;LHC18b;pass2;p-p;13000.0;285013, 285222;- Weighted jet-jet (CALOFAST) for EMCAL trigger development andchored to 2018 periods, reconstruction c - noise 50 MeV, test 2;;PWGJE;;;;1110000;198210097711;354.7921;36.648354;1631206430;1631324696
LHC21c5c_2;ALIROOT-8678;LHC18b;pass2;p-p;13000.0;285013;- Weighted jet-jet (CALOFAST) for EMCAL trigger development andchored to 2018 periods, reconstruction c - noise 50 MeV, test;;PWGJE;;;;678000;121443997040;200.90584;37.11748;1631180670;1631268495
LHC21e2a;ALIROOT-8695;LHC16p;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass2 LHC16p, store BKG along ESDs, all runs;;;no PAG to select;;5920987;6588900;8267137748540;307784.4;2068.903;1630260983;1630541494
LHC21e1a;ALIROOT-8694;LHC16o;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass2 LHC16o, store BKG along ESDs, all runs;;;no PAG to select;;15185590;16914850;20046326697238;783241.75;5771.3594;1630260780;1631793619
LHC21e5a;ALIROOT-8699;LHC16l;pass3;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass3 LHC16l, store BKG along ESDs;;;no PAG to select;;12100046;13480500;16777157419393;622185.8;4315.2334;1630260699;1630603744
LHC21e7a;ALIROOT-8703;LHC16k;pass3;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass3 LHC16k, store BKG along ESDs;;;no PAG to select;;46816324;52015500;65371288476573;2.4666285e+06;23210.875;1630260636;1631821753
LHC21d8a;ALIROOT-8687;LHC16j;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass2 LHC16j, store BKG along ESDs;;;no PAG to select;;19705014;21612000;40906925867303;1.247927e+06;7104.09;1630260573;1630607141
LHC21d5a;ALIROOT-8682;LHC16h;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to pass2 LHC16h, store BKG along ESDs;;;no PAG to select;;23367277;26570700;43347452637234;1.3870704e+06;9498.236;1630260488;1630595384
LHC21g5a;ALIROOT-8727;LHC16f;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC16f (low and nominal B) pass2, store BKG along ESDs;;;no PAG to select;;14768650;16461750;11522327100678;597508.94;4064.3;1630260074;1630456782
LHC21d4a;ALIROOT-8681;LHC16e;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC16e, 16g, 16i, store BKG along ESDs;;;no PAG to select;;34396894;38228250;39656391828655;1.6327475e+06;9748.252;1630259934;1631992939
LHC21d9e;;;pass2;;;300100, 300101;DelphesO2 Simulation + AOD, pp setup, CCBAR Lc pKpi, 02-xxx;;;;;;202400000;2207113470332;3959.9377;274.48557;1630232702;1630331520
LHC21d9d;;;pass3;Pb-Pb;;300100, 300101, 300102, 300103, 300104;DelphesO2 Simulation + AOD, Pb-Pb setup, 5kGauss, 02-xxx;;;;;;1067655;1520613904338;43240.26;12558.644;1630140906;1630215009
LHC21d9c;;;pass2;;;300100, 300101, 300102, 300103, 300104, 300105, 300106, 300107;DelphesO2 Simulation + AOD, pp setup, 5kGauss, 02-xxx;;;;;;5310700000;89881022472719;266032.12;21502.068;1630140908;1630247929
LHC21d3a;ALIROOT-8680;, LHC18n;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to 18g, 18h, 18i, 18j, 18k and 18n pass2, store BKG along ESDs;;;no PAG to select;;21377999;23790300;16801116957358;894085.8;5122.373;1631692589;1631815526
LHC21b5a;ALIROOT-8643;LHC18f;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18f pass2, store BKG along ESDs;;;no PAG to select;;20791006;23059800;40035850882133;1.2540421e+06;8756.196;1630105890;1630401759
LHC21b4a;ALIROOT-8642;LHC18o;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18o pass2, store BKG along ESDs;;;no PAG to select;;14314945;15791400;29032453655309;898939.06;6307.9346;1630105837;1630423382
LHC21c8a;ALIROOT-8662;LHC18e;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18e pass2, store BKG along ESDs;;;no PAG to select;;14845553;16468350;27416205823864;885373.8;6037.799;1630105769;1630408051
LHC21c7a;ALIROOT-8661;LHC18d;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18d pass2, store BKG along ESDs;;;no PAG to select;;11572667;12803700;22328397655816;709008.94;4567.135;1630105677;1630394441
LHC21f1b4c;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled +XS, triton, Geant4 (pass3_filter 18qr Pb-Pb), 50-90% cent;;PWGLF;;;250000;271400;1101889662959;81502.91;989.31744;1629665316;1631255401
LHC21f1b4b;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled -XS, triton, Geant4 (pass3_filter 18qr Pb-Pb), 50-90% cent;;PWGLF;;;250000;271610;1092497945030;80520.38;982.5755;1629665303;1631266212
LHC21f1b4a;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, triton, Geant4 (pass3_filter 18qr Pb-Pb), 50-90% cent;;PWGLF;;;250000;271260;1096524776155;81502.35;969.84515;1629665283;1631263200
LHC21f1b3c;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled +XS, triton, Geant4 (pass3_filter 18qr Pb-Pb), 30-50% cent;;PWGLF;;;100000;108038;1381339601343;125342.52;665.7356;1629665161;1631357123
LHC21f1b3b;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled -XS, triton, Geant4 (pass3_filter 18qr Pb-Pb), 30-50% cent;;PWGLF;;;100000;108101;1364531409790;123880.95;652.6956;1629665136;1631409417
LHC21f1b3a;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, triton, Geant4 (pass3_filter 18qr Pb-Pb), 30-50% cent;;PWGLF;;;100000;108031;1368701479553;125121.76;652.07874;1629665119;1631346688
LHC21f1b2c;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled +XS, triton, Geant4 (pass3_filter 18qr Pb-Pb), 10-30% cent;;PWGLF;;;50000;52705;1497553708503;135130.03;519.15405;1629665065;1631462941
LHC21f1b2b;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled -XS, triton, Geant4 (pass3_filter 18qr Pb-Pb), 10-30% cent;;PWGLF;;;50000;52715;1472587916845;135867.62;499.5986;1629665033;1631460367
LHC21f1b2a;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, triton, Geant4 (pass3_filter 18qr Pb-Pb), 10-30% cent;;PWGLF;;;50000;53145;1496511389126;136834.5;509.82852;1629664988;1631476723
LHC21f1b1c;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled +XS, triton, Geant4 (pass3_filter 18qr Pb-Pb), 0-10% cent;;PWGLF;;;25000;26816;1406003035806;126843.06;588.30664;1629664946;1631391019
LHC21f1b1b;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled -XS, triton, Geant4 (pass3_filter 18qr Pb-Pb), 0-10% cent;;PWGLF;;;25000;26808;1380000070556;124296.86;592.5617;1629664927;1631371515
LHC21f1b1a;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, triton, Geant4 (pass3_filter 18qr Pb-Pb), 0-10% cent;;PWGLF;;;25000;26814;1393060392094;126313.13;612.2868;1629664551;1631384535
LHC21f1a4c;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled +XS, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 50-90% cent;;PWGLF;;;125000;135950;566276828612;40839.17;494.4281;1629659463;1631228507
LHC21f1a4b;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled -XS, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 50-90% cent;;PWGLF;;;125000;135910;575436082481;40616.95;501.60693;1629659461;1631239720
LHC21f1a4a;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 50-90% cent;;PWGLF;;;125000;135560;568064716254;40853.746;492.93292;1629659458;1631222293
LHC21f1a3c;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled +XS, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 30-50% cent;;PWGLF;;;50000;53914;711463551107;63649.816;336.04953;1629659454;1631562580
LHC21f1a3b;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled -XS, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 30-50% cent;;PWGLF;;;50000;53802;707947696538;62775.496;356.49948;1629659451;1631332978
LHC21f1a3a;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 30-50% cent;;PWGLF;;;50000;53445;704582388820;62643.895;340.84735;1629659449;1631326226
LHC21f1a2c;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled +XS, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 10-30% cent;;PWGLF;;;25000;26705;785594506605;70146;269.5588;1629631192;1631446515
LHC21f1a2b;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled -XS, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 10-30% cent;;PWGLF;;;25000;26665;778005835671;69174.39;268.93387;1629631188;1631440457
LHC21f1a2a;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 10-30% cent;;PWGLF;;;25000;26860;787993482254;69929.23;270.35672;1629631010;1631430644
LHC21f1a1c;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled +XS, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 0-10% cent;;PWGLF;;;12500;13466;731810020061;64086.086;310.38614;1629630915;1631351070
LHC21f1a1b;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, scaled -XS, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 0-10% cent;;PWGLF;;;12500;13476;727814694158;63299.473;327.08496;1629630708;1631372343
LHC21f1a1a;ALIROOT-8704;LHC18r;pass3;Pb-Pb;5020.0;;- nuclei and antinuclei absorption studies, 3He, Geant4 (pass3_filter 18qr Pb-Pb), 0-10% cent;;PWGLF;;;12500;13440;726119468213;63594.273;307.999;1629630548;1631339956
LHC21a6a_cent_woSDD;ALIROOT-8633;LHC18c;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18c pass2, CENT w/o SDD, store BKG;;;no PAG to select;;72382800;80680200;99278245102388;3.7017538e+06;19347.268;1630642603;1631220021
LHC21a6a_fast;ALIROOT-8633;LHC18c;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18c pass2, FAST, store BKG;;;no PAG to select;;73130100;81496800;100408042078628;3.7662452e+06;26640.621;1630644561;1630916149
LHC21a6a_cent;ALIROOT-8633;LHC18c;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18c pass2, CENT wSDD, store BKG;;;no PAG to select;;72382800;80595300;99510090260728;3.7170552e+06;21989.143;1630642509;1631054353
LHC21c6a;ALIROOT-8660;LHC18b;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18b pass2, store BKG;;;no PAG to select;;51715956;57556800;34896688869581;2.105315e+06;13850.241;1630578953;1630971897
LHC21a5a;ALIROOT-8628;LHC18m;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18m pass2, store BKG;;;no PAG to select;;61059485;67648350;144205542257692;4.2721525e+06;29724.357;1630578878;1631378676
LHC21a4a;ALIROOT-8608;LHC18l;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC18l pass2, store BKG;;;no PAG to select;;20497908;22778550;38641674918679;1.2409549e+06;6159.349;1630578789;1631163393
